X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
-2.519194,42.842917,7810849,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,"CALLE GASTEIZBIDEA, 59",D,-2.519194,42.842917,1.339,1.279,,,,,,,,,,,ES DULANTZI REPSOL,P,dm,L-D: 24H,L-D: 24H,,2019-11-19T00:00:00.000Z
-2.509361,42.846028,7810850,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,"CL MANISITU, 9",D,-2.509361,42.846028,,1.259,0.726000,,,,,,,,,,"PREMIRA ENERGIA NORTE, S.L.",P,dm,L-D: 24H,L-D: 24H,,2019-11-19T00:00:00.000Z
-2.989111,43.044333,7810851,ÁLAVA,AMURRIO,LARRINBE,01468,"POLIGONO ZANKUETA, 0",D,-2.989111,43.044333,1.299,1.209,,,1.279000,,,,1.389000,,,,ESTACIONES GB,P,dm,L-D: 24H,L-D: 24H,,2019-11-19T00:00:00.000Z
-2.967611,43.031889,7810852,ÁLAVA,AMURRIO,LEZAMA,01450,"CARRETERA A-624 KM. 37,8",D,-2.967611,43.031889,1.339,1.275,,,1.335000,,,,1.454000,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-11-19T00:00:00.000Z
-2.477917,42.753194,7810853,ÁLAVA,ARRAIA-MAEZTU,MAEZTU/MAESTU,01120,CARRETERA A-132 VITORIA-ESTELLA KM. 23,I,-2.477917,42.753194,1.25,1.145,,,,,,,1.315000,,,,(SIN RÓTULO),P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2019-11-19T00:00:00.000Z
-2.639528,42.941417,7810854,ÁLAVA,ARRAZUA-UBARRUNDIA,LUKO,01510,"N-240-B km 11,8",D,-2.639528,42.941417,1.339,1.279,,,1.349000,,,,1.454000,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-11-19T00:00:00.000Z
-2.616361,42.876861,7810855,ÁLAVA,ARRAZUA-UBARRUNDIA,ZURBANO,01520,AUTOVIA N-1 km 358,N,-2.616361,42.876861,1.339,1.279,,,1.349000,1.349000,,,1.463000,,,,AVIA,P,dm,L-D: 24H,L-D: 24H,,2019-11-19T00:00:00.000Z
-3.122528,43.123361,7810856,ÁLAVA,ARTZINIEGA,ARTZINIEGA,01474,"AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)",D,-3.122528,43.123361,1.335,1.255,0.905000,,1.295000,,,,1.465000,,,,AVIA ,P,dm,L-D: 24H,L-D: 24H,,2019-11-19T00:00:00.000Z
-2.312056,42.870861,7810857,ÁLAVA,ASPARRENA,ARAIA,01250,"CALLE DEIDA, 6",D,-2.312056,42.870861,,1.281,,,,,,,,,,,ADS,P,dm,L-D: 24H,L-D: 24H,,2019-11-19T00:00:00.000Z
-2.278694,42.866417,7810858,ÁLAVA,ASPARRENA,ILARDUIA,01260,"N-IA km 385,1",I,-2.278694,42.866417,1.309,1.239,,,1.299000,,,,,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2019-11-19T00:00:00.000Z
-2.357278,42.670222,7810859,ÁLAVA,CAMPEZO/KANPEZU,SANTA CRUZ CAMPEZO,01110,"CR A-132  VITORIA-ESTELLA, 38,1",I,-2.357278,42.670222,1.309,1.199,0.900000,,1.349000,,,,,,,,PETRONOR,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2019-11-19T00:00:00.000Z
-2.518167,42.878556,7810860,ÁLAVA,ELBURGO/BURGELU,ELBURGO/BURGELU,01192,"CARRETERA N-1 KM. 364,4",D,-2.518167,42.878556,1.389,1.295,0.947000,,1.365000,,,,1.513000,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-11-19T00:00:00.000Z
-2.77225,42.823778,7810861,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"CALLE TRATADO DE PARIS, 6",D,-2.77225,42.823778,1.238,1.153,,,,,,,,,,,EUROCAM,P,dm,L-D: 24H,L-D: 24H,,2019-11-19T00:00:00.000Z
