X,Y,objectid,provincia,municipio,localidad,código_postal,dirección2,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha,dirección
,,8027943,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,,D,-2.509361,42.846028,,1.259,0.726,,,,,,,,,,"PREMIRA ENERGIA NORTE, S.L.",P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CL MANISITU, 9"
,,8027944,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,,D,-2.519194,42.842917,1.349,1.279,,,,,,,,,,,ES DULANTZI REPSOL,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE GASTEIZBIDEA, 59"
,,8027945,ÁLAVA,AMURRIO,LARRINBE,01468,,D,-2.989111,43.044333,1.289,1.209,,,1.279,,,,1.389,,,,ESTACIONES GB,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"POLIGONO ZANKUETA, 0"
,,8027946,ÁLAVA,AMURRIO,LEZAMA,01450,,D,-2.967611,43.031889,1.349,1.279,,,1.339,,,,1.464,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"CARRETERA A-624 KM. 37,8"
,,8027947,ÁLAVA,ARRAIA-MAEZTU,MAEZTU/MAESTU,01120,,I,-2.477917,42.753194,1.25,1.145,,,,,,,1.315,,,,(SIN RÓTULO),P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2019-12-10T00:00:00.000Z,CARRETERA A-132 VITORIA-ESTELLA KM. 23
,,8027948,ÁLAVA,ARRAZUA-UBARRUNDIA,LUKO,01510,,D,-2.639528,42.941417,1.344,1.279,,,1.349,,,,1.459,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2019-12-10T00:00:00.000Z,"N-240-B km 11,8"
,,8027949,ÁLAVA,ARRAZUA-UBARRUNDIA,ZURBANO,01520,,N,-2.616361,42.876861,1.355,1.279,,,1.349,1.349,,,1.479,,,,AVIA,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,AUTOVIA N-1 km 358
,,8027950,ÁLAVA,ARTZINIEGA,ARTZINIEGA,01474,,D,-3.122528,43.123361,1.335,1.255,0.915,,1.305,,,,1.465,,,,AVIA ,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)"
,,8027951,ÁLAVA,ASPARRENA,ARAIA,01250,,D,-2.312056,42.870861,,1.287,,,,,,,,,,,ADS,P,dm,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"CALLE DEIDA, 6"
,,8027952,ÁLAVA,ASPARRENA,ILARDUIA,01260,,I,-2.278694,42.866417,1.309,1.239,,,1.299,,,,,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2019-12-10T00:00:00.000Z,"N-IA km 385,1"
